company_id,coverage
31f4f889-5c6a-4867-b12d-d70e0b1ede37,SaaS
025d9464-547d-4d96-a716-bb36bf0d1f55,Other Cloud: Hybrid/Private/On-prem virtualization
025d9464-547d-4d96-a716-bb36bf0d1f55,SaaS
3da23ea0-4997-4c21-88f6-8cee4d17e40a,SaaS
aadab715-a81f-4354-a700-a5689ffb2341,SaaS
2d6dc330-aa19-42be-a5c7-b0ae641b3d43,IaaS
2d6dc330-aa19-42be-a5c7-b0ae641b3d43,SaaS
2d6dc330-aa19-42be-a5c7-b0ae641b3d43,PaaS
15ada0e4-fd22-4523-96a9-548e33656ad5,
e02b4dfb-be6d-4dc0-b902-e6fb62b7d2e2,
42d63ff2-8889-425f-9b86-5b7109e48354,SaaS
42d63ff2-8889-425f-9b86-5b7109e48354,Other Cloud: Hybrid/Private/On-prem virtualization
42d63ff2-8889-425f-9b86-5b7109e48354,IaaS
42d63ff2-8889-425f-9b86-5b7109e48354,PaaS
a4d47add-bff3-4365-a269-6d86aef04bc2,Other Cloud: Hybrid/Private/On-prem virtualization
a4d47add-bff3-4365-a269-6d86aef04bc2,SaaS
a5b54099-1df5-4a7f-929a-cb9e2804874a,SaaS
a5b54099-1df5-4a7f-929a-cb9e2804874a,Other Cloud: Hybrid/Private/On-prem virtualization
8549a90a-895b-49e6-a568-9c8d4a2205c5,IaaS
8549a90a-895b-49e6-a568-9c8d4a2205c5,Other Cloud: Hybrid/Private/On-prem virtualization
8549a90a-895b-49e6-a568-9c8d4a2205c5,SaaS
075d4f36-601b-403b-9397-4f708a576184,Other Cloud: Hybrid/Private/On-prem virtualization
075d4f36-601b-403b-9397-4f708a576184,SaaS
f0ac4cd6-513f-47f2-b79a-f1b2ed21b23d,SaaS
f0ac4cd6-513f-47f2-b79a-f1b2ed21b23d,Other Cloud: Hybrid/Private/On-prem virtualization
03ef0e0a-644a-4161-9030-f38a840c2679,SaaS
03ef0e0a-644a-4161-9030-f38a840c2679,Other Cloud: Hybrid/Private/On-prem virtualization
733ef438-99f2-4253-8617-cc871c341079,SaaS
f762af7d-90bb-46b0-ae10-2b678f87a86f,SaaS
f762af7d-90bb-46b0-ae10-2b678f87a86f,Other Cloud: Hybrid/Private/On-prem virtualization
a260283e-cd39-436d-8e43-2cc733f9ea3c,
bc81549b-3fb6-443d-8446-cebccf7ada3b,
2b0e1774-d4d8-471d-8923-0bf553675440,Other Cloud: Hybrid/Private/On-prem virtualization
2b0e1774-d4d8-471d-8923-0bf553675440,SaaS
2b0e1774-d4d8-471d-8923-0bf553675440,IaaS
8918e718-42be-4b54-8d54-374c2a313b82,Other Cloud: Hybrid/Private/On-prem virtualization
8918e718-42be-4b54-8d54-374c2a313b82,SaaS
b414da6a-6756-4372-8cbb-81342e618d78,SaaS
1fb98e2e-2a90-4e16-a0fc-ac69f90a376f,
27b55936-82a6-49a1-b119-0368b3d00115,
bd29c2b1-06c5-460d-b24f-eb938a2e60fa,
2ae25501-eb9b-457e-bc98-731eeaaeefa6,
4cc02baa-e6cd-4e5b-8192-6eed1d8c374d,Other Cloud: Hybrid/Private/On-prem virtualization
ab14d80f-23c3-482a-9c89-9fd37feaf826,SaaS
21e61094-1ae9-4e6e-bdcf-5d49895abb75,PaaS
21e61094-1ae9-4e6e-bdcf-5d49895abb75,SaaS
21e61094-1ae9-4e6e-bdcf-5d49895abb75,Other Cloud: Hybrid/Private/On-prem virtualization
1c47359c-3f1b-49e5-8a1a-2cb87875678f,SaaS
2afbfe2c-331a-4881-bc2b-b5c9d325dbe7,
940ad9bd-e1f3-4fd6-b219-c97e535601e5,
e4de44c8-dcac-4604-886a-780595a559e0,
05787efb-5558-4560-8c37-a37d2612488b,Other Cloud: Hybrid/Private/On-prem virtualization
05787efb-5558-4560-8c37-a37d2612488b,SaaS
05787efb-5558-4560-8c37-a37d2612488b,PaaS
f3083c28-f852-4367-b794-aa2202f28a1d,SaaS
f95c7daa-ea58-423e-a968-80262fc86a5e,SaaS
eee6e621-ad35-47a1-9591-3e846a8d88dd,SaaS
19cfdc3e-7eb6-414b-a584-88a9ae697fad,
bc0cabe4-3e98-4b4c-a032-43c41ec015fb,SaaS
fc37a753-b77c-45f1-affd-1335439712be,
9fc5dbc1-1c16-476b-9399-b174a9b8ead2,
093380fd-c6f7-45b9-b86c-fd20c86b08e1,
b8bd0d27-0563-480f-9a75-7635209ff627,PaaS
b8bd0d27-0563-480f-9a75-7635209ff627,Other Cloud: Hybrid/Private/On-prem virtualization
b8bd0d27-0563-480f-9a75-7635209ff627,SaaS
2bdee4f4-c157-4aa8-a958-0c098fb83914,Other Cloud: Hybrid/Private/On-prem virtualization
2bdee4f4-c157-4aa8-a958-0c098fb83914,IaaS
2bdee4f4-c157-4aa8-a958-0c098fb83914,SaaS
2bdee4f4-c157-4aa8-a958-0c098fb83914,PaaS
7fe979db-c7c7-4491-ac3a-f8881eb8f6dd,IaaS
7fe979db-c7c7-4491-ac3a-f8881eb8f6dd,SaaS
c5054464-3e63-4a91-a958-5237de93dbd1,SaaS
71166c65-4395-4b88-b42e-4501c6d4b79d,PaaS
71166c65-4395-4b88-b42e-4501c6d4b79d,SaaS
9af683ab-c344-4303-87eb-ecc1620db3b9,SaaS
9af683ab-c344-4303-87eb-ecc1620db3b9,Other Cloud: Hybrid/Private/On-prem virtualization
08189b09-fae6-4857-a2f6-b62ed91c82bf,
9cccde2a-3569-457b-8946-856289c1b1d1,
e39457a6-c21c-4b8c-98c2-a619bfee80ce,SaaS
ed8bfde6-49b7-4d72-80e8-2d55078c4b5b,SaaS
ed8bfde6-49b7-4d72-80e8-2d55078c4b5b,Other Cloud: Hybrid/Private/On-prem virtualization
05037db5-a7b6-4ad3-91f1-1ebad80fc45c,SaaS
02082a6c-8771-4e39-b211-96c3e7f8e7aa,SaaS
d48939bc-947b-4461-b8fd-1b000ebf32c4,SaaS
e3fb5c1b-995f-4a07-af88-6622510590e8,Other Cloud: Hybrid/Private/On-prem virtualization
e3fb5c1b-995f-4a07-af88-6622510590e8,SaaS
c8648697-09ae-406a-a786-c1240beb70a1,SaaS
c8648697-09ae-406a-a786-c1240beb70a1,Other Cloud: Hybrid/Private/On-prem virtualization
a1f2e717-15cf-4781-9cc5-c19ca4ba4cf7,Other Cloud: Hybrid/Private/On-prem virtualization
a1f2e717-15cf-4781-9cc5-c19ca4ba4cf7,SaaS
2026824a-50fa-4fac-86ec-2a2347cbb48a,
1a33e958-d172-46ab-8fa1-257e676eb68e,
