Company ID,Cloud Coverage
115082217,SaaS
12452939,Other Cloud: Hybrid/Private/On-prem virtualization
12452939,SaaS
12844974,SaaS
13108721,SaaS
115082393,IaaS
115082393,SaaS
115082393,PaaS
118620722,-
107348955,-
111543294,SaaS
111543294,Other Cloud: Hybrid/Private/On-prem virtualization
111543294,IaaS
111543294,PaaS
13111713,Other Cloud: Hybrid/Private/On-prem virtualization
13111713,SaaS
111804832,SaaS
111804832,Other Cloud: Hybrid/Private/On-prem virtualization
12821197,IaaS
12821197,Other Cloud: Hybrid/Private/On-prem virtualization
12821197,SaaS
15205535,Other Cloud: Hybrid/Private/On-prem virtualization
15205535,SaaS
12713807,SaaS
12713807,Other Cloud: Hybrid/Private/On-prem virtualization
111804365,SaaS
111804365,Other Cloud: Hybrid/Private/On-prem virtualization
13107305,SaaS
92274794,SaaS
92274794,Other Cloud: Hybrid/Private/On-prem virtualization
118621214,-
12710659,-
111673189,Other Cloud: Hybrid/Private/On-prem virtualization
111673189,SaaS
111673189,IaaS
12583311,Other Cloud: Hybrid/Private/On-prem virtualization
12583311,SaaS
118621275,SaaS
118621197,-
13116955,-
13369824,-
12713798,-
12715502,Other Cloud: Hybrid/Private/On-prem virtualization
118621112,SaaS
12844862,PaaS
12844862,SaaS
12844862,Other Cloud: Hybrid/Private/On-prem virtualization
13107301,SaaS
92013759,-
111542873,-
13107538,-
12714745,Other Cloud: Hybrid/Private/On-prem virtualization
12714745,SaaS
12714745,PaaS
12452992,SaaS
118621252,SaaS
92144607,SaaS
111582597,-
114951222,SaaS
92274816,-
118621093,-
118621349,-
92274980,PaaS
92274980,Other Cloud: Hybrid/Private/On-prem virtualization
92274980,SaaS
115082437,Other Cloud: Hybrid/Private/On-prem virtualization
115082437,IaaS
115082437,SaaS
115082437,PaaS
13045436,IaaS
13045436,SaaS
115082687,SaaS
12583803,PaaS
12583803,SaaS
12839683,SaaS
12839683,Other Cloud: Hybrid/Private/On-prem virtualization
118621068,-
118621114,-
12714429,SaaS
111804993,SaaS
111804993,Other Cloud: Hybrid/Private/On-prem virtualization
115082448,SaaS
15204595,SaaS
118621051,SaaS
13642337,Other Cloud: Hybrid/Private/On-prem virtualization
13642337,SaaS
12594604,SaaS
12594604,Other Cloud: Hybrid/Private/On-prem virtualization
92013266,Other Cloud: Hybrid/Private/On-prem virtualization
92013266,SaaS
118621174,-
111805865,-
12845154,-
115082359,SaaS
111936582,SaaS
118621618,SaaS
111805005,SaaS
118621186,SaaS
118621173,SaaS
13296625,SaaS
13573090,PaaS
13573090,Other Cloud: Hybrid/Private/On-prem virtualization
13573090,IaaS
13573090,SaaS
12453077,SaaS
118621305,-
118621322,-
115082473,-
13115005,-
13108214,SaaS
13108214,IaaS
13108214,Other Cloud: Hybrid/Private/On-prem virtualization
15204600,-
12845056,SaaS
12845056,Other Cloud: Hybrid/Private/On-prem virtualization
118621353,SaaS
118621353,IaaS
118621353,Other Cloud: Hybrid/Private/On-prem virtualization
12584026,Other Cloud: Hybrid/Private/On-prem virtualization
93585931,SaaS
93585931,Other Cloud: Hybrid/Private/On-prem virtualization
15205179,-
118620738,-
13107862,-
111935326,-
12714802,SaaS
12714802,Other Cloud: Hybrid/Private/On-prem virtualization
12583348,SaaS
13369436,Other Cloud: Hybrid/Private/On-prem virtualization
13369436,SaaS
13108252,SaaS
111804524,-
12501145,SaaS
12452384,Other Cloud: Hybrid/Private/On-prem virtualization
115082504,-
118620489,-
12799388,Other Cloud: Hybrid/Private/On-prem virtualization
12714297,SaaS
12714297,IaaS
12714297,Other Cloud: Hybrid/Private/On-prem virtualization
12584393,Other Cloud: Hybrid/Private/On-prem virtualization
12713878,SaaS
12692024,Other Cloud: Hybrid/Private/On-prem virtualization
12692024,PaaS
12692024,SaaS
118620243,-
12452954,SaaS
12452954,Other Cloud: Hybrid/Private/On-prem virtualization
12706257,SaaS
115082387,SaaS
12452526,PaaS
12452526,IaaS
12452526,Other Cloud: Hybrid/Private/On-prem virtualization
12452526,SaaS
115082530,IaaS
115082530,SaaS
12846328,Other Cloud: Hybrid/Private/On-prem virtualization
12846328,IaaS
12846328,PaaS
12846328,SaaS
12583995,SaaS
12583089,Other Cloud: Hybrid/Private/On-prem virtualization
15204730,Other Cloud: Hybrid/Private/On-prem virtualization
15204730,SaaS
115082545,-
15204739,SaaS
15204739,Other Cloud: Hybrid/Private/On-prem virtualization
15204781,SaaS
15204781,Other Cloud: Hybrid/Private/On-prem virtualization
12452421,SaaS
12452421,IaaS
12844903,-
13044198,SaaS
12840336,-
13369862,SaaS
13369862,Other Cloud: Hybrid/Private/On-prem virtualization
111804286,SaaS
111804976,-
115082677,SaaS
118068817,-
118348751,-
118620579,-
118039106,-
115082646,SaaS
111936583,-
115082574,-
15204830,-
118621013,-
107329891,-
12452894,-
92012637,Other Cloud: Hybrid/Private/On-prem virtualization
12715015,Other Cloud: Hybrid/Private/On-prem virtualization
12715015,SaaS
12582808,SaaS
12582808,Other Cloud: Hybrid/Private/On-prem virtualization
115082592,Other Cloud: Hybrid/Private/On-prem virtualization
115082592,SaaS
12584051,-
12844973,Other Cloud: Hybrid/Private/On-prem virtualization
115081739,-
118643478,SaaS
12845183,SaaS
13369929,Other Cloud: Hybrid/Private/On-prem virtualization
13369929,SaaS
115082600,SaaS
115082600,PaaS
115082600,IaaS
115082603,SaaS
114950611,-
12583453,Other Cloud: Hybrid/Private/On-prem virtualization
12583453,IaaS
12583453,SaaS
12583453,PaaS
15204814,SaaS
15204814,Other Cloud: Hybrid/Private/On-prem virtualization
111944340,-
13108376,SaaS
15204931,Other Cloud: Hybrid/Private/On-prem virtualization
15204931,SaaS
114950751,SaaS
13108548,SaaS
115343873,-
15204874,SaaS
111805503,Other Cloud: Hybrid/Private/On-prem virtualization
115081777,SaaS
115081777,Other Cloud: Hybrid/Private/On-prem virtualization
114926331,SaaS
12714744,Other Cloud: Hybrid/Private/On-prem virtualization
12714744,SaaS
12845571,IaaS
12845571,SaaS
12845571,PaaS
12845571,Other Cloud: Hybrid/Private/On-prem virtualization
15204925,SaaS
115081786,SaaS
114951025,Other Cloud: Hybrid/Private/On-prem virtualization
114951025,SaaS
111805170,SaaS
13369292,SaaS
13369292,IaaS
13369292,Other Cloud: Hybrid/Private/On-prem virtualization
12584146,SaaS
12584146,Other Cloud: Hybrid/Private/On-prem virtualization
12666689,Other Cloud: Hybrid/Private/On-prem virtualization
12666689,SaaS
115081797,SaaS
12704361,Other Cloud: Hybrid/Private/On-prem virtualization
12704361,SaaS
12704361,IaaS
115081802,IaaS
115081802,PaaS
115081802,Other Cloud: Hybrid/Private/On-prem virtualization
115081802,SaaS
118620698,SaaS
118620698,IaaS
118342904,SaaS
12451725,-
12452635,SaaS
12452635,IaaS
13370231,SaaS
13370231,PaaS
13370231,Other Cloud: Hybrid/Private/On-prem virtualization
111805195,SaaS
118621238,SaaS
15205026,-
12650176,PaaS
12650176,SaaS
12650176,Other Cloud: Hybrid/Private/On-prem virtualization
12650176,IaaS
118034812,SaaS
118620851,SaaS
118620851,Other Cloud: Hybrid/Private/On-prem virtualization
13370234,SaaS
118620747,SaaS
15205015,SaaS
