id,global_region,region,country,state,city
f5b7c511-0b32-440f-9d43-112597308f84,Americas,Latin America,Trinidad and Tobago,Arima,Arima
29b6cc58-4d46-4b6e-8ae1-fd85d27cd45f,Americas,Latin America,Argentina,Ciudad Autonoma de Buenos Aires,Carlos Casares
8a7083c7-8475-4640-95a8-0c040de2c9f2,Americas,Canada,Canada,Ontario,Toronto
efe4caad-8fa3-4ad8-88bb-7db6d6293ee7,Americas,Canada,Canada,Ontario,Waterloo
1fb712e4-71a4-410d-8af5-9d083634a217,Americas,Latin America,Mexico,Ciudad de Mexico,Mexico City
d0d534e4-4023-45a8-89d4-421daa0acddb,EMEA,Western Europe,France,Paris,Paris
e34163c9-d2ed-4f0f-bab7-0654ccd008c5,EMEA,Western Europe,Cyprus,Lefkosia,Nicosia
52593eaf-3969-42df-833c-d74473ea94c4,EMEA,Western Europe,Germany,Lower Saxony,Hannover
c2e21abf-2bce-4493-9d4a-d13921822843,EMEA,Central & Eastern Europe,Russia,Moscow,Moscow
aa8a3795-520b-4c8b-b39c-8270e1d2c748,EMEA,Western Europe,Spain,Madrid,Madrid
6fce6824-f9e1-4d4a-8bc6-ea30ee41346c,APJ,APeJC,Australia,New South Wales,Sydney
0cac49ef-92fb-478c-a867-9c8f4ccb78ad,Americas,USA,USA,Texas,Dallas
580c499c-3c22-4924-9abf-00ccc3b0985b,EMEA,Western Europe,Italy,Emilia-Romagna,Modena
830f7ec9-fe1b-489d-8ae6-142116c0f8b2,Americas,USA,USA,Florida,Tampa
71c141a0-9680-4e52-9117-7b9a160251f2,EMEA,Middle East & Africa,United Arab Emirates,Dubai,Dubai
e05bcc0f-8aa7-4ddb-8a16-d63d2a98c0bf,EMEA,Western Europe,Netherlands,North Holland,Amsterdam
62b24d79-4da2-4e3e-8aeb-e39e9c646777,EMEA,Western Europe,Cyprus,Lefkosia,Egkomi Lefkosias
2c35a751-6a54-439f-9ca8-228aad57aea1,Americas,Latin America,Brazil,Santa Catarina,Criciuma
75be441e-2337-41cb-b75c-595b1e1ba500,Americas,Latin America,Brazil,Sao Paulo,Sao Paulo
a0da3191-e49c-474b-9fc9-749a2117d0ff,Americas,Latin America,Brazil,Rio de Janeiro,Rio de Janeiro
2dbb77e2-13e9-4b08-96b2-2e19775aef8f,Americas,Latin America,Venezuela,Merida,Merida
ac101682-50a2-4b98-ad06-023f41080b4f,Americas,Latin America,Venezuela,Tachira,Tachira
d14583f3-c88a-4f63-924a-44396cc7753b,Americas,Latin America,Venezuela,Trujillo,Trujillo
6e1132ce-3647-486e-bf54-9aa3ccae3aa2,Americas,Latin America,Venezuela,Zulia,Maracaibo
7f0cbdc8-36d8-4885-9bf0-7f0a0aa45556,Americas,Latin America,Venezuela,Barinas,Barinas
7e346b5c-a80a-47ed-9a78-76df9be4b5ae,Americas,Latin America,Venezuela,Caracas,Caracas
a4f98fc6-3143-426c-ad3e-4b6ef2fc55d8,Americas,Latin America,Mexico,Morelos,Cuernavaca
ba0a6edc-746b-4bac-8915-38af9b47eee6,Americas,Latin America,Colombia,CUN,Bogota
3500bb5b-4448-438e-9d67-6507774f8c37,Americas,Latin America,Colombia,Bogota,Bogota
4aac51d7-dac6-4280-a440-b6cd692759d1,Americas,Latin America,Colombia,Cundinamarca,Bogota
6e3a2107-03ac-47e8-85ac-5109643217a5,Americas,Latin America,Chile,Santiago Metropolitan Region,Providencia
15074b46-28e9-45ee-ba48-fbfa4331058a,Americas,Latin America,Chile,Antofagasta,Calama
1c3a0dba-7920-4164-a55f-f221acbb5d50,Americas,Latin America,Chile,Antofagasta,Antofagasta
79e4ee34-9ee2-482d-b932-a7a7551516bb,Americas,Latin America,Chile,Santiago Metropolitan Region,Santiago De Chile
695851ba-3def-4ac6-acba-26bb60febc5c,Americas,Latin America,Chile,Santiago Metropolitan Region,Santiago
2ad1fdf0-2811-4601-b71c-508f28a75743,Americas,Latin America,Chile,Maule,Santiago
cacc27fa-ac8b-42fe-95f5-72c3d32ce182,Americas,Latin America,Peru,Lima,San Isidro
676752b1-0398-40a8-93d9-bf00342fe964,Americas,Latin America,Peru,Lima,Lima
0e522716-588b-440e-9ec2-8d3c4830eeec,Americas,Latin America,Chile,Santiago Metropolitan Region,Renca
fb99a68a-e82b-467a-9293-49b0dbedea9f,Americas,USA,USA,New York,New York
f1e1abb9-37d9-451f-8f67-74ab7c2b605a,Americas,Latin America,Ecuador,Pichincha,Quito
70495273-3e83-4336-95b5-58d05ecb5097,Americas,Latin America,Chile,Santiago Metropolitan Region,San Joaquin
aaa4abb8-f0cd-4855-9bfd-0074137d395b,Americas,Latin America,Peru,Callao,Lima
