classification,company_id
Regional System Integrator (RSI),31f4f889-5c6a-4867-b12d-d70e0b1ede37
Cloud Service Provider (CSP),31f4f889-5c6a-4867-b12d-d70e0b1ede37
Regional System Integrator (RSI),025d9464-547d-4d96-a716-bb36bf0d1f55
Cloud Service Provider (CSP),025d9464-547d-4d96-a716-bb36bf0d1f55
Cloud Service Provider (CSP),3da23ea0-4997-4c21-88f6-8cee4d17e40a
Regional System Integrator (RSI),3da23ea0-4997-4c21-88f6-8cee4d17e40a
Independent Software Vendor (ISV),3da23ea0-4997-4c21-88f6-8cee4d17e40a
Independent Software Vendor (ISV),aadab715-a81f-4354-a700-a5689ffb2341
Regional System Integrator (RSI),aadab715-a81f-4354-a700-a5689ffb2341
Cloud Service Provider (CSP),aadab715-a81f-4354-a700-a5689ffb2341
Managed Service Provider (MSP),2d6dc330-aa19-42be-a5c7-b0ae641b3d43
Cloud Service Provider (CSP),2d6dc330-aa19-42be-a5c7-b0ae641b3d43
Distributor,15ada0e4-fd22-4523-96a9-548e33656ad5
Independent Software Vendor (ISV),15ada0e4-fd22-4523-96a9-548e33656ad5
Cloud Service Provider (CSP),e02b4dfb-be6d-4dc0-b902-e6fb62b7d2e2
Regional System Integrator (RSI),42d63ff2-8889-425f-9b86-5b7109e48354
Cloud Service Provider (CSP),42d63ff2-8889-425f-9b86-5b7109e48354
Value Added Reseller (VAR),42d63ff2-8889-425f-9b86-5b7109e48354
Direct Market Reseller (DMR),42d63ff2-8889-425f-9b86-5b7109e48354
Regional System Integrator (RSI),a4d47add-bff3-4365-a269-6d86aef04bc2
Cloud Service Provider (CSP),a4d47add-bff3-4365-a269-6d86aef04bc2
Cloud Service Provider (CSP),a5b54099-1df5-4a7f-929a-cb9e2804874a
Regional System Integrator (RSI),a5b54099-1df5-4a7f-929a-cb9e2804874a
Cloud Service Provider (CSP),8549a90a-895b-49e6-a568-9c8d4a2205c5
Value Added Reseller (VAR),8549a90a-895b-49e6-a568-9c8d4a2205c5
Cloud Service Provider (CSP),075d4f36-601b-403b-9397-4f708a576184
Independent Software Vendor (ISV),075d4f36-601b-403b-9397-4f708a576184
Managed Service Provider (MSP),f0ac4cd6-513f-47f2-b79a-f1b2ed21b23d
Regional System Integrator (RSI),f0ac4cd6-513f-47f2-b79a-f1b2ed21b23d
Cloud Service Provider (CSP),f0ac4cd6-513f-47f2-b79a-f1b2ed21b23d
Regional System Integrator (RSI),03ef0e0a-644a-4161-9030-f38a840c2679
Cloud Service Provider (CSP),03ef0e0a-644a-4161-9030-f38a840c2679
Direct Market Reseller (DMR),03ef0e0a-644a-4161-9030-f38a840c2679
Cloud Service Provider (CSP),733ef438-99f2-4253-8617-cc871c341079
Independent Software Vendor (ISV),733ef438-99f2-4253-8617-cc871c341079
Regional System Integrator (RSI),733ef438-99f2-4253-8617-cc871c341079
Cloud Service Provider (CSP),f762af7d-90bb-46b0-ae10-2b678f87a86f
Regional System Integrator (RSI),f762af7d-90bb-46b0-ae10-2b678f87a86f
Regional System Integrator (RSI),a260283e-cd39-436d-8e43-2cc733f9ea3c
Regional System Integrator (RSI),bc81549b-3fb6-443d-8446-cebccf7ada3b
Cloud Service Provider (CSP),2b0e1774-d4d8-471d-8923-0bf553675440
Regional System Integrator (RSI),2b0e1774-d4d8-471d-8923-0bf553675440
Cloud Service Provider (CSP),8918e718-42be-4b54-8d54-374c2a313b82
Regional System Integrator (RSI),8918e718-42be-4b54-8d54-374c2a313b82
Cloud Service Provider (CSP),b414da6a-6756-4372-8cbb-81342e618d78
Independent Software Vendor (ISV),b414da6a-6756-4372-8cbb-81342e618d78
Distributor,1fb98e2e-2a90-4e16-a0fc-ac69f90a376f
Regional System Integrator (RSI),1fb98e2e-2a90-4e16-a0fc-ac69f90a376f
Regional System Integrator (RSI),27b55936-82a6-49a1-b119-0368b3d00115
Regional System Integrator (RSI),bd29c2b1-06c5-460d-b24f-eb938a2e60fa
Independent Software Vendor (ISV),2ae25501-eb9b-457e-bc98-731eeaaeefa6
Regional System Integrator (RSI),2ae25501-eb9b-457e-bc98-731eeaaeefa6
Cloud Service Provider (CSP),4cc02baa-e6cd-4e5b-8192-6eed1d8c374d
Cloud Service Provider (CSP),ab14d80f-23c3-482a-9c89-9fd37feaf826
Regional System Integrator (RSI),21e61094-1ae9-4e6e-bdcf-5d49895abb75
Cloud Service Provider (CSP),21e61094-1ae9-4e6e-bdcf-5d49895abb75
Independent Software Vendor (ISV),21e61094-1ae9-4e6e-bdcf-5d49895abb75
Cloud Service Provider (CSP),1c47359c-3f1b-49e5-8a1a-2cb87875678f
Regional System Integrator (RSI),1c47359c-3f1b-49e5-8a1a-2cb87875678f
Regional System Integrator (RSI),2afbfe2c-331a-4881-bc2b-b5c9d325dbe7
-,940ad9bd-e1f3-4fd6-b219-c97e535601e5
Independent Software Vendor (ISV),e4de44c8-dcac-4604-886a-780595a559e0
Regional System Integrator (RSI),05787efb-5558-4560-8c37-a37d2612488b
Cloud Service Provider (CSP),05787efb-5558-4560-8c37-a37d2612488b
Independent Software Vendor (ISV),05787efb-5558-4560-8c37-a37d2612488b
Managed Service Provider (MSP),f3083c28-f852-4367-b794-aa2202f28a1d
Cloud Service Provider (CSP),f3083c28-f852-4367-b794-aa2202f28a1d
Regional System Integrator (RSI),f95c7daa-ea58-423e-a968-80262fc86a5e
Cloud Service Provider (CSP),f95c7daa-ea58-423e-a968-80262fc86a5e
Regional System Integrator (RSI),eee6e621-ad35-47a1-9591-3e846a8d88dd
Cloud Service Provider (CSP),eee6e621-ad35-47a1-9591-3e846a8d88dd
Cloud Service Provider (CSP),19cfdc3e-7eb6-414b-a584-88a9ae697fad
Independent Software Vendor (ISV),19cfdc3e-7eb6-414b-a584-88a9ae697fad
Regional System Integrator (RSI),bc0cabe4-3e98-4b4c-a032-43c41ec015fb
Cloud Service Provider (CSP),bc0cabe4-3e98-4b4c-a032-43c41ec015fb
Regional System Integrator (RSI),fc37a753-b77c-45f1-affd-1335439712be
-,9fc5dbc1-1c16-476b-9399-b174a9b8ead2
-,093380fd-c6f7-45b9-b86c-fd20c86b08e1
Regional System Integrator (RSI),b8bd0d27-0563-480f-9a75-7635209ff627
Cloud Service Provider (CSP),b8bd0d27-0563-480f-9a75-7635209ff627
Managed Service Provider (MSP),2bdee4f4-c157-4aa8-a958-0c098fb83914
Cloud Service Provider (CSP),2bdee4f4-c157-4aa8-a958-0c098fb83914
Regional System Integrator (RSI),2bdee4f4-c157-4aa8-a958-0c098fb83914
Managed Service Provider (MSP),7fe979db-c7c7-4491-ac3a-f8881eb8f6dd
Cloud Service Provider (CSP),7fe979db-c7c7-4491-ac3a-f8881eb8f6dd
Regional System Integrator (RSI),7fe979db-c7c7-4491-ac3a-f8881eb8f6dd
Regional System Integrator (RSI),c5054464-3e63-4a91-a958-5237de93dbd1
Cloud Service Provider (CSP),c5054464-3e63-4a91-a958-5237de93dbd1
Regional System Integrator (RSI),71166c65-4395-4b88-b42e-4501c6d4b79d
Cloud Service Provider (CSP),71166c65-4395-4b88-b42e-4501c6d4b79d
Regional System Integrator (RSI),9af683ab-c344-4303-87eb-ecc1620db3b9
Cloud Service Provider (CSP),9af683ab-c344-4303-87eb-ecc1620db3b9
-,08189b09-fae6-4857-a2f6-b62ed91c82bf
Independent Software Vendor (ISV),9cccde2a-3569-457b-8946-856289c1b1d1
Managed Service Provider (MSP),9cccde2a-3569-457b-8946-856289c1b1d1
Independent Software Vendor (ISV),e39457a6-c21c-4b8c-98c2-a619bfee80ce
Regional System Integrator (RSI),e39457a6-c21c-4b8c-98c2-a619bfee80ce
Cloud Service Provider (CSP),e39457a6-c21c-4b8c-98c2-a619bfee80ce
Managed Service Provider (MSP),e39457a6-c21c-4b8c-98c2-a619bfee80ce
Cloud Service Provider (CSP),ed8bfde6-49b7-4d72-80e8-2d55078c4b5b
Managed Service Provider (MSP),05037db5-a7b6-4ad3-91f1-1ebad80fc45c
Regional System Integrator (RSI),05037db5-a7b6-4ad3-91f1-1ebad80fc45c
Cloud Service Provider (CSP),05037db5-a7b6-4ad3-91f1-1ebad80fc45c
Regional System Integrator (RSI),02082a6c-8771-4e39-b211-96c3e7f8e7aa
Cloud Service Provider (CSP),02082a6c-8771-4e39-b211-96c3e7f8e7aa
Cloud Service Provider (CSP),d48939bc-947b-4461-b8fd-1b000ebf32c4
Regional System Integrator (RSI),d48939bc-947b-4461-b8fd-1b000ebf32c4
Regional System Integrator (RSI),e3fb5c1b-995f-4a07-af88-6622510590e8
Cloud Service Provider (CSP),e3fb5c1b-995f-4a07-af88-6622510590e8
Value Added Reseller (VAR),c8648697-09ae-406a-a786-c1240beb70a1
Managed Service Provider (MSP),c8648697-09ae-406a-a786-c1240beb70a1
Regional System Integrator (RSI),c8648697-09ae-406a-a786-c1240beb70a1
Cloud Service Provider (CSP),c8648697-09ae-406a-a786-c1240beb70a1
Cloud Service Provider (CSP),a1f2e717-15cf-4781-9cc5-c19ca4ba4cf7
Regional System Integrator (RSI),a1f2e717-15cf-4781-9cc5-c19ca4ba4cf7
Independent Software Vendor (ISV),a1f2e717-15cf-4781-9cc5-c19ca4ba4cf7
